Car_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,N_Photos,Price,N_Inquires,is_sold
XL3-1236548,5,1.32E+18,1.32E+18,52292,White,26,95000,22,1
XL3-1128542,18,1.32E+18,1.32E+18,38000,White,28,130000,53,0
XL3-1128542,8,1.32E+18,1.32E+18,38000,White,28,95000,53,1
XL3-1018069,19,1.32E+18,1.32E+18,46500,White,28,130000,14,0
XL3-1018069,3,1.32E+18,1.32E+18,46500,White,28,105000,14,1
XL3-1251464,18,1.32E+18,1.33E+18,68252,Silver,29,110000,96,0
XL3-1251464,24,1.32E+18,1.33E+18,68252,Silver,29,70000,96,1
XL3-1275370,0,1.32E+18,1.32E+18,65558,White,27,110000,18,0
XL3-1275370,8,1.32E+18,1.32E+18,65558,White,27,90000,18,1
XL3-1267905,4,1.32E+18,1.32E+18,47073,Silver,30,150000,20,0
XL3-1267905,25,1.32E+18,1.32E+18,47073,Silver,30,95000,20,1
XL3-1255611,35,1.32E+18,1.33E+18,64618,Black,28,150000,42,0
XL3-1255611,29,1.32E+18,1.33E+18,64618,Black,28,70000,42,1
XL3-1132334,35,1.32E+18,1.33E+18,62000,Black,28,130000,49,0
XL3-1132334,34,1.32E+18,1.33E+18,62000,Black,28,85000,49,1
XL3-1242314,18,1.31E+18,1.33E+18,80021,Brown,29,110000,67,0
XL3-1242314,65,1.32E+18,1.33E+18,80021,Brown,29,190000,67,1
XL3-1094706,34,1.32E+18,1.33E+18,41600,Black,28,110000,52,0
XL3-1094706,14,1.32E+18,1.33E+18,41600,Black,28,90000,52,1
XL3-1501457,4,1.32E+18,1.32E+18,43141,White,28,110000,4,1
XL3-1265194,3,1.32E+18,1.32E+18,75419,White,27,90000,29,0
XL3-1265194,14,1.32E+18,1.32E+18,75419,White,27,80000,29,1
XL3-1279720,5,1.32E+18,1.32E+18,40000,White,28,110000,5,0
XL3-1279720,3,1.32E+18,1.32E+18,40000,White,28,105000,5,1
XL3-1070522,28,1.32E+18,1.33E+18,40667,Black,27,110000,58,0
XL3-1070522,38,1.32E+18,1.33E+18,40667,Black,27,90000,58,1
XL3-1266583,25,1.32E+18,1.33E+18,54293,Black,28,130000,27,0
XL3-1266583,42,1.32E+18,1.33E+18,54293,Black,28,95000,27,1
XL3-1529485,10,1.32E+18,1.33E+18,68797,White,29,110000,17,0
XL3-1529485,8,1.32E+18,1.33E+18,68797,White,29,100000,17,1
XL3-1076788,3,1.32E+18,1.32E+18,44923,White,29,90000,13,1
XL3-1243444,12,1.32E+18,1.33E+18,50526,Black,28,110000,40,0
XL3-1243444,37,1.32E+18,1.33E+18,50526,Black,28,70000,40,1
XL3-1118098,26,1.32E+18,1.33E+18,66670,Black,28,110000,106,0
XL3-1118098,30,1.32E+18,1.33E+18,66670,Black,28,70000,106,1
XL3-1028868,1,1.32E+18,1.33E+18,64999,White,28,110000,14,0
XL3-1028868,10,1.32E+18,1.33E+18,64999,White,28,70000,14,1
XL3-1515298,14,1.32E+18,1.33E+18,43408,Black,28,110000,76,0
XL3-1515298,45,1.32E+18,1.33E+18,43408,Black,28,80000,76,1
XL3-1223573,11,1.32E+18,1.33E+18,62368,White,28,90000,18,0
XL3-1223573,10,1.32E+18,1.33E+18,62368,White,28,70000,18,1
XL3-1261279,4,1.32E+18,1.33E+18,41650,White,27,110000,22,0
XL3-1261279,20,1.32E+18,1.33E+18,41650,White,27,100000,22,1
XL3-1214316,4,1.32E+18,1.33E+18,73567,Black,28,90000,29,0
XL3-1214316,40,1.32E+18,1.33E+18,73567,Black,28,85000,29,1
XL3-1517686,39,1.32E+18,1.33E+18,58612,Black,27,110000,46,0
XL3-1517686,9,1.32E+18,1.33E+18,58612,Black,27,100000,46,1
XL3-1565301,7,1.32E+18,1.33E+18,45339,White,27,110000,2,1
XL3-1553528,7,1.32E+18,1.33E+18,66750,White,27,110000,22,0
XL3-1553528,11,1.32E+18,1.33E+18,66750,White,27,90000,22,1
XL3-1265895,18,1.32E+18,1.33E+18,40330,White,28,130000,43,0
XL3-1265895,17,1.32E+18,1.33E+18,40330,White,28,110000,43,1
XL3-1515165,0,1.32E+18,1.33E+18,45500,Silver,28,110000,44,0
XL3-1515165,28,1.32E+18,1.33E+18,45500,Silver,28,90000,44,1
XL3-1241641,9,1.32E+18,1.33E+18,47405,White,28,110000,15,0
XL3-1241641,15,1.32E+18,1.33E+18,47405,White,28,95000,15,1
XL3-1002202,30,1.32E+18,1.33E+18,75116,Black,28,110000,12,0
XL3-1002202,0,1.32E+18,1.33E+18,75116,Black,28,95000,12,1
XL3-1513648,31,1.32E+18,1.33E+18,43541,Black,29,130000,41,0
XL3-1513648,5,1.32E+18,1.33E+18,43541,Black,29,90000,41,1
XL3-1556739,10,1.32E+18,1.33E+18,42854,White,28,130000,45,0
XL3-1556739,17,1.32E+18,1.33E+18,42854,White,28,115000,45,1
XL3-1057599,18,1.33E+18,1.33E+18,58374,White,28,110000,19,1
XL3-1005783,12,1.33E+18,1.33E+18,45458,White,28,110000,14,0
XL3-1005783,2,1.33E+18,1.33E+18,45458,White,28,105000,14,1
XL3-1510257,1,1.33E+18,1.33E+18,58460,White,28,110000,8,0
XL3-1510257,3,1.33E+18,1.33E+18,58460,White,28,90000,8,1
XL3-1524437,7,1.33E+18,1.33E+18,53576,White,28,110000,26,0
XL3-1524437,9,1.33E+18,1.33E+18,53576,White,28,80000,26,1
XL3-1519588,5,1.33E+18,1.33E+18,38813,White,28,110000,7,1
XL3-1013398,16,1.33E+18,1.33E+18,17173,Black,28,150000,138,0
XL3-1013398,8,1.33E+18,1.33E+18,17173,Black,28,60000,138,1
XL3-1515553,7,1.33E+18,1.33E+18,65925,White,27,110000,12,1
XL3-1561838,27,1.33E+18,1.33E+18,68726,Silver,28,110000,19,0
XL3-1561838,0,1.33E+18,1.33E+18,68726,Silver,28,70000,19,1
XL3-1502864,26,1.33E+18,1.33E+18,35500,Silver,27,110000,43,0
XL3-1502864,6,1.33E+18,1.33E+18,35500,Silver,27,80000,43,1
XL3-1153114,1,1.33E+18,1.33E+18,81020,Black,27,90000,69,0
XL3-1153114,34,1.33E+18,1.33E+18,81020,Black,27,60000,69,1
XL3-1009480,11,1.33E+18,1.33E+18,21034,White,27,90000,97,0
XL3-1009480,7,1.33E+18,1.33E+18,21034,White,27,65000,97,1
XL3-1534117,24,1.33E+18,1.33E+18,66885,Silver,27,130000,284,0
XL3-1534117,0,1.33E+18,1.33E+18,66885,Silver,27,90000,284,1
XL3-1531573,0,1.33E+18,1.33E+18,56375,White,27,110000,15,0
XL3-1531573,11,1.33E+18,1.33E+18,56375,White,27,90000,15,1
XL3-1167332,6,1.33E+18,1.33E+18,84718,Silver,28,110000,15,0
XL3-1167332,8,1.33E+18,1.33E+18,84718,Silver,28,90000,15,1
XL3-1528792,11,1.33E+18,1.33E+18,53402,White,28,110000,17,0
XL3-1528792,11,1.33E+18,1.33E+18,53402,White,28,80000,17,1
XL3-1566626,7,1.33E+18,1.33E+18,51855,White,28,110000,52,0
XL3-1566626,5,1.33E+18,1.33E+18,51855,White,28,75000,52,1
XL3-1030422,30,1.32E+18,1.34E+18,47969,Brown,29,110000,96,0
XL3-1030422,75,1.33E+18,1.34E+18,47969,Brown,29,170000,96,1
XL3-1041186,19,1.33E+18,1.34E+18,36411,Silver,28,110000,42,0
